delivery_id,driver_id,delivery_distance_meters,delivery_status
68413340,8378,5199,DELIVERED
68414309,2473,410,DELIVERED
68416230,7615,3784,DELIVERED
68412721,8378,5714,DELIVERED
68414018,10463,3746,DELIVERED
68415103,16430,3924,DELIVERED
68416643,14513,2489,DELIVERED
68417783,,2564,CANCELLED
68415457,9996,340,DELIVERED
68414563,23092,1081,DELIVERED
68415140,9996,2880,DELIVERED
68416059,9996,1450,DELIVERED
68417307,25575,1699,DELIVERED
68416059,9996,1450,DELIVERED
68415947,9392,5951,DELIVERED
68416226,15156,2353,DELIVERED
68417646,29669,1014,DELIVERED
68416227,10514,5796,DELIVERED
68416397,7396,4425,DELIVERED
68418089,14702,2007,DELIVERED
68415344,26154,5385,DELIVERED
68415474,26154,3854,DELIVERED
68414512,26154,5514,DELIVERED
68418430,15561,3768,DELIVERED
68419302,15898,2927,DELIVERED
68419091,14059,709,DELIVERED
68418711,12893,3484,DELIVERED
68419094,21923,727,DELIVERED
68421547,4190,1793,DELIVERED
68419146,24830,1796,DELIVERED
68419684,24830,1418,DELIVERED
68420053,9828,4417,DELIVERED
68420869,9043,4284,DELIVERED
68421551,23093,1249,DELIVERED
68422045,24584,700,DELIVERED
68419140,358,1853,DELIVERED
68420592,12077,2258,DELIVERED
68420589,30854,2787,DELIVERED
68417544,8456,2472,DELIVERED
68420308,6165,842,DELIVERED
68422281,25651,3667,DELIVERED
68424656,12023,2068,DELIVERED
68422076,2355,1828,DELIVERED
68422614,26075,1787,DELIVERED
68419848,5628,3429,DELIVERED
68421987,12136,1683,DELIVERED
68417778,17907,3112,DELIVERED
68423847,5250,1976,DELIVERED
68422671,9211,940,DELIVERED
68417799,9025,3651,DELIVERED
68422092,15661,3642,DELIVERED
68423162,14382,2381,DELIVERED
68417497,10514,4704,DELIVERED
68419305,726,995,DELIVERED
68419373,30574,1322,DELIVERED
68424659,29966,4382,DELIVERED
68425021,5052,3046,DELIVERED
68424433,30574,1171,DELIVERED
68419797,430,1389,DELIVERED
68423762,4937,1992,DELIVERED
68423643,938,1154,DELIVERED
68418092,22901,4665,DELIVERED
68424216,25651,1452,DELIVERED
68424547,,2100,CANCELLED
68426376,731,1811,DELIVERED
68425058,25651,1488,DELIVERED
68427952,28171,816,DELIVERED
68425821,25651,3498,DELIVERED
68423588,8940,1754,DELIVERED
68428840,27294,3579,DELIVERED
68426619,10259,923,DELIVERED
68424858,25651,3617,DELIVERED
68426187,25651,1299,DELIVERED
68426421,358,4992,DELIVERED
68426427,25651,2591,DELIVERED
68430224,3834,519,DELIVERED
68429364,512,2202,DELIVERED
68429550,8266,3659,DELIVERED
68428396,10614,3073,DELIVERED
68427057,,2995,CANCELLED
68428503,29378,1341,DELIVERED
68426471,357,3659,DELIVERED
68429631,13043,1628,DELIVERED
68426696,1113,1658,DELIVERED
68427588,5623,949,DELIVERED
68424660,24571,2284,DELIVERED
68430182,11466,4517,DELIVERED
68427057,1113,2995,DELIVERED
68430452,17477,1333,DELIVERED
68430526,9509,93,DELIVERED
68420776,26879,825,DELIVERED
68428457,357,395,DELIVERED
68430552,23093,726,DELIVERED
68434112,22260,1420,DELIVERED
68430487,6161,3976,DELIVERED
68429530,25651,251,DELIVERED
68415543,14511,4144,DELIVERED
68429881,5628,1387,DELIVERED
68421071,10514,4564,DELIVERED
68426262,7396,416,DELIVERED
68431089,25651,2406,DELIVERED
68432363,25651,4504,DELIVERED
68432907,25651,2549,DELIVERED
68426299,6361,4135,DELIVERED
68431651,25798,2027,DELIVERED
68428566,5628,1894,DELIVERED
68430392,9828,4699,DELIVERED
68432364,17227,4918,DELIVERED
68432360,5128,2430,DELIVERED
68424547,14382,2100,DELIVERED
68432455,2945,1859,DELIVERED
68426996,14382,2582,DELIVERED
68434362,25409,3703,DELIVERED
68430527,5250,1028,DELIVERED
68427326,14382,2849,DELIVERED
68427637,25651,2529,DELIVERED
68430280,358,3283,DELIVERED
68430788,425,1610,DELIVERED
68432554,888,5390,DELIVERED
68431672,26075,2417,DELIVERED
68434509,10560,2147,DELIVERED
68424858,16430,3617,DELIVERED
68429064,28171,788,DELIVERED
68431673,30030,2797,DELIVERED
68432184,12136,1944,DELIVERED
68429311,26588,1168,DELIVERED
68432823,26052,1239,DELIVERED
68433418,6662,2068,DELIVERED
68432080,14702,4112,DELIVERED
68429379,25651,1458,DELIVERED
68431370,25651,987,DELIVERED
68434135,9509,2539,DELIVERED
68432456,13043,2565,DELIVERED
68431111,13527,763,DELIVERED
68424238,8378,5389,DELIVERED
68432272,8958,3791,DELIVERED
68432349,6656,1769,DELIVERED
68434121,174,286,DELIVERED
68434442,4190,1460,DELIVERED
68434852,15561,2642,DELIVERED
68422281,9996,3667,DELIVERED
68435114,7615,147,DELIVERED
