center_id,hub_id,center_name,center_segment,center_plan_price
3,2,CUMIURI,FOOD,0
6,3,PIMGUCIS DA VIVA ,FOOD,0
8,3,RASMUR S ,FOOD,0
53,8,PAPA SUCIS ,FOOD,0
54,8,VUZPI PAZZIS ,FOOD,0
56,8,SUPSIO ,FOOD,49
58,8,PIAMUARIS ,FOOD,49
82,8,LUCITA ,FOOD,0
83,8,PRARIZZAI ,FOOD,0
84,8,PALLO MZU GRALA,FOOD,49
85,8,PRISMAURAI ,FOOD,0
88,8,EUGUSMI ,GOOD,0
89,8,LIS URPIMIOUS ,FOOD,49
90,8,CISI DA POI EU QUASI ,FOOD,49
95,8,ARE TRAMUO ,FOOD,49
96,5,PIRMI DA SIPIR ,FOOD,0
99,8,SIRVUMU AMILAI ,FOOD,0
100,8,LUPIMUIM ,FOOD,49.9
122,4,MASUCIE,GOOD,0
141,8,RO PRISMAUS ,FOOD,0
144,8,CIRIROI U CAI ,FOOD,49.9
149,8,IUMPICA ,FOOD,0
164,8,CLUPU RULASSI ,GOOD,0
187,13,LUCITA ,FOOD,49
189,13,USPUMUI CIRAICI ,FOOD,49
191,13,AR PAZZI ,FOOD,49
228,8,PUGUM ,GOOD,0
232,16,RIARI SIARI ,FOOD,0
236,13,IUMPICA ,FOOD,0
245,18,SUPSIO ,FOOD,0
261,18,AR TRAMUO ,FOOD,49
264,8,EMUOUS,GOOD,0
274,16,IUMPICA ,FOOD,0
294,13,PAPA SUCIS ,FOOD,0
295,8,AIEMAMIMU IU PRUSEM,GOOD,29.9
311,13,RISA PUM ,GOOD,29
321,17,IUMPICA ,FOOD,0
339,17,ARE TRAMUO ,FOOD,49.9
342,13,PIARIS,GOOD,0
345,13,ZIM ME MUMEUR ,FOOD,49
356,21,SPILUMI ,FOOD,49.9
357,22,PILIOU RAS ,FOOD,0
361,22,IPUPIEMAI ,FOOD,0
365,20,CIRILAMI SILUS ,FOOD,49.9
366,20,AR TRAMUO ,FOOD,49
367,20,MIUMSAU ,FOOD,49
370,20,PAZZI ZUM ,FOOD,49
371,20,LUCITA ,FOOD,0
373,20,CRUPULICOS ,FOOD,49
377,20,RIRURPIS,GOOD,0
378,21,OURAMIES ,FOOD,49.9
383,21,ACA PRISSURAU ,FOOD,49.9
387,22,REMFRUMIS ,FOOD,49
390,17,PAZZI ZUM ,FOOD,49.9
391,20,FAIARUMUI ,FOOD,0
399,13,PIARO ,FOOD,0
406,20,GARIOLIS ,FOOD,49
409,16,RC OUMILEES ,FOOD,0
414,13,SPILUMI ,FOOD,0
415,8,IPUPIEMAI ,FOOD,
416,21,IUMPICA ,FOOD,0
417,20,IUMPICA ,FOOD,0
426,20,ZIM M MUMEUR ,FOOD,
430,21,PIR DA ILUROI ,FOOD,0
435,16,SUSM GRALA,FOOD,49.9
439,16,CILAFIRMAI CIOLA ,FOOD,49.9
446,20,SIRLE FRA ,GOOD,29
447,21,PA PISACI ,GOOD,29
453,20,IRULAU CRUPURAU ,FOOD,49
462,18,CIFUAMI ,FOOD,49
476,20,PIARI FLIRUS ,GOOD,29
482,25,GIPUMZIGUM OPASI RIUSARI CIREARA ,GOOD,49.9
490,22,MATATA ,FOOD,49.9
491,16,I CISI DA PAMPE ,GOOD,29.9
493,25,PAZZI ZUM ,FOOD,49.9
495,25,IUMPICA ,FOOD,0
496,26,IUMPICA ,FOOD,
497,13,CISI DA URPIOU ,FOOD,0
501,25,RISIRA ,FOOD,49.9
508,20,GROI USPRUSSI ,FOOD,49
515,18,GULIMURAI RE ,FOOD,49
520,26,IRIR OIS PUOUMIS ,FOOD,49.9
524,3,ILA RIERUGI ,GOOD,49.9
525,25,PUCIRAMI  ,FOOD,49.9
529,20,GULIMURAI RE ,FOOD,49
531,16,CISUMPES ,FOOD,49.9
532,13,SIRLE FRA ,GOOD,29.9
540,22,UMIG ,GOOD,49
545,3,IAMUR ,FOOD,49.9
555,20,RIGU I CIGU ,FOOD,49
563,3,MZU PLICA PAF ,FOOD,49.9
564,20,PUMGUA ,FOOD,49.9
582,16,SPILUMI ,FOOD,49.9
585,21,MUMRIFAM ,GOOD,29.9
586,26,GULIMI PIRULA ,FOOD,49.9
587,8,PIARO ,FOOD,
590,20,VUG UP ,FOOD,49
591,27,MZU SUACU LIP ,FOOD,49.9
595,27,ZIVIMUI ,GOOD,49.9
599,21,LIFM ,GOOD,
600,21,GRIME CRU ,GOOD,29.9
603,27,GRIME CRU ,GOOD,29.9
604,16,SIRVUMU AMILAI ,FOOD,49.9
605,16,MIMAMI SAMU VAMUIGU ,GOOD,49.9
606,8,MAP MIP ,GOOD,
607,27,ECILUMI MI LISI FASACIO PASCIAMO ,FOOD,49.9
616,18,CILAFIRMAI CIOLA ,FOOD,49
622,28,PASCIAMO ,FOOD,49.9
623,28,SUPSIO ,FOOD,49.9
624,28,SPILUMI ,FOOD,49.9
626,28,MUMRIFAM ,GOOD,29.9
627,27,FAM RIRGUM ,GOOD,29.9
629,8,RIARI SIARI ,FOOD,
631,28,IUMPICA ,FOOD,
632,28,IPUPIEMAI ,FOOD,
633,21,ZIVIMUI ,GOOD,49.9
640,28,GRIME CRU ,GOOD,49
641,26,MUMRIFAM ,GOOD,29.9
644,13,USARULI DA SUA,FOOD,
646,21,PASCIAMU ,FOOD,49.9
648,27,PIPRU SUIM ,FOOD,49.9
